"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FEDERALBNK","EQ","03-Feb-2022","        101.40","        101.25","        101.90","        100.80","        100.95","        101.00","        101.22","   10269350","          1039416710.75","      39698","    3980011","         38.76"
"FEDERALBNK","EQ","04-Feb-2022","        101.00","        101.00","        101.20","         98.25","         98.90","         98.90","         99.63","    9864599","           982852912.00","      35932","    2505633","         25.40"
"FEDERALBNK","EQ","07-Feb-2022","         98.90","         99.00","        100.50","         97.80","         99.50","         99.50","         99.43","   24264144","          2412496532.70","      55680","   13099985","         53.99"
"FEDERALBNK","EQ","08-Feb-2022","         99.50","         99.85","        100.05","         97.00","         98.70","         99.00","         98.45","    9556428","           940815974.45","      35131","    1833799","         19.19"
"FEDERALBNK","EQ","09-Feb-2022","         99.00","         99.70","        103.00","         99.70","        101.90","        102.15","        101.85","   22966546","          2339033586.75","      73588","    6408046","         27.90"
"FEDERALBNK","EQ","10-Feb-2022","        102.15","        102.50","        105.00","        100.90","        104.35","        104.45","        103.74","   30117303","          3124456624.30","     111002","   10823596","         35.94"
"FEDERALBNK","EQ","11-Feb-2022","        104.45","        103.90","        106.00","        102.30","        102.65","        102.95","        104.57","   28714979","          3002763060.20","      77259","   10759472","         37.47"
"FEDERALBNK","EQ","14-Feb-2022","        102.95","        100.00","        100.45","         95.45","         95.75","         96.20","         97.65","   23369759","          2281955575.80","      75346","    7586017","         32.46"
"FEDERALBNK","EQ","15-Feb-2022","         96.20","         96.80","        100.95","         94.40","        100.25","        100.45","         97.39","   20803245","          2025977344.20","      59567","    3664020","         17.61"
"FEDERALBNK","EQ","16-Feb-2022","        100.45","        101.00","        101.50","         98.95","         99.10","         99.60","        100.05","   16016476","          1602509967.00","      54701","    3824852","         23.88"
"FEDERALBNK","EQ","17-Feb-2022","         99.60","         99.70","        100.20","         98.05","         98.20","         98.50","         99.02","   13437785","          1330620979.75","      39152","    4229116","         31.47"
"FEDERALBNK","EQ","18-Feb-2022","         98.50","         97.00","         98.95","         96.95","         97.80","         97.90","         98.11","   10075699","           988505669.95","      31275","    2349646","         23.32"
"FEDERALBNK","EQ","21-Feb-2022","         97.90","         97.80","        101.85","         97.00","         99.90","         99.75","        100.11","   35843421","          3588313388.70","      92860","    6841522","         19.09"
"FEDERALBNK","EQ","22-Feb-2022","         99.75","         97.75","        100.05","         96.15","         99.10","         99.45","         98.32","   25227553","          2480272102.75","      59238","    5492564","         21.77"
"FEDERALBNK","EQ","23-Feb-2022","         99.45","         99.45","        102.10","         99.45","        100.15","        100.30","        100.88","   21482751","          2167143681.05","      54033","    5619195","         26.16"
"FEDERALBNK","EQ","24-Feb-2022","        100.30","         97.00","         97.55","         92.60","         92.80","         93.85","         95.44","   39643527","          3783506337.55","     100253","   12865817","         32.45"
"FEDERALBNK","EQ","25-Feb-2022","         93.85","         95.45","         97.60","         95.00","         96.50","         96.75","         96.64","   28249018","          2730102420.70","      86288","    8223791","         29.11"
"FEDERALBNK","EQ","28-Feb-2022","         96.75","         96.10","         97.30","         95.00","         96.95","         97.00","         96.68","   14455709","          1397562996.20","      51515","    3210734","         22.21"
"FEDERALBNK","EQ","02-Mar-2022","         97.00","         96.00","         97.75","         94.65","         96.20","         96.05","         95.97","   15548463","          1492171039.10","      58384","    3450786","         22.19"
"FEDERALBNK","EQ","03-Mar-2022","         96.05","         97.45","         97.50","         95.30","         95.85","         95.75","         96.00","   12419175","          1192212399.45","      47406","    3296013","         26.54"
"FEDERALBNK","EQ","04-Mar-2022","         95.75","         95.30","         95.65","         92.85","         93.15","         93.25","         93.92","   13385957","          1257246006.30","      55343","    2620028","         19.57"
"FEDERALBNK","EQ","07-Mar-2022","         93.25","         92.00","         92.50","         86.00","         87.55","         87.40","         88.04","   24502834","          2157287806.20","      89786","    7900555","         32.24"
